,Date,Visa,Master
119,2008-09-08,-0.023132664,-0.009167269
120,2008-09-09,-0.037232525,-0.05792808
121,2008-09-10,0.022966365,0.032027141
122,2008-09-11,0.027665122,0.057566095
123,2008-09-12,0.009866103000000001,-0.007890071
124,2008-09-15,-0.031681786,-0.053837948
125,2008-09-16,-0.043672527999999995,0.014355197
126,2008-09-17,-0.034061794,-0.087565756
127,2008-09-18,0.043844594,0.06392857099999999
128,2008-09-19,0.039910314,0.079844579
129,2008-09-22,-0.063101912,-0.101252292
130,2008-09-23,0.026388462999999997,-0.021642455
131,2008-09-24,-0.018236173,-0.018434293
132,2008-09-25,-0.016443362,-0.020530022
133,2008-09-26,-0.039628483,-0.027789399
134,2008-09-29,-0.068343005,-0.092073319
135,2008-09-30,0.062110727000000004,0.055347259
136,2008-10-01,-0.001303144,-0.03377883
137,2008-10-02,-0.060675257,-0.06542547
138,2008-10-03,-0.013023093999999999,0.000437145
139,2008-10-06,-0.025686137,0.045006242
140,2008-10-07,-0.076381365,-0.052027955
141,2008-10-08,0.028934506000000002,0.030497732000000003
142,2008-10-09,-0.052821585,-0.047939284000000006
143,2008-10-10,0.043129388,-0.02562614
144,2008-10-13,0.132115385,0.144288436
145,2008-10-14,-0.021403092000000002,0.002707373
146,2008-10-15,-0.136434647,-0.117883661
147,2008-10-16,0.066733668,0.020384175
148,2008-10-17,-0.016016581999999998,0.000446834
149,2008-10-20,-0.0040214479999999995,-0.042169059
150,2008-10-21,-0.025187464,-0.0023977620000000003
151,2008-10-22,-0.043195265999999996,-0.059086727
152,2008-10-23,-0.003916718,-0.034981837
153,2008-10-24,-0.007036424,-0.039558824
154,2008-10-27,-0.028970403999999998,-0.032690247
155,2008-10-28,0.072547757,0.076454214
156,2008-10-29,0.014408645,-0.002058599
157,2008-10-30,0.070230815,0.031901569
158,2008-10-31,0.020276498,0.055404898
159,2008-11-03,-0.051671182999999996,-0.026586455
160,2008-11-04,0.139455134,0.18312606899999997
161,2008-11-05,-0.055843504,-0.08441029800000001
162,2008-11-06,-0.087480078,-0.080644127
163,2008-11-07,0.038230157,0.030914166
164,2008-11-10,-0.028224298999999998,-0.033033169
165,2008-11-11,0.034622043,-0.009450542
166,2008-11-12,-0.037925265,-0.035547703
167,2008-11-13,0.051980675999999996,0.077086612
168,2008-11-14,-0.0036737690000000003,-0.022518673
169,2008-11-17,-0.027286136000000002,-0.055261557
170,2008-11-18,0.035633055,0.041697212000000004
171,2008-11-19,-0.056002928,-0.083875536
172,2008-11-20,-0.066692516,-0.065230745
173,2008-11-21,-0.036560033,0.045007845
174,2008-11-24,0.072013799,0.038960012999999995
175,2008-11-25,-0.0038214,0.057731802
176,2008-11-26,0.049868765999999995,0.046742413
177,2008-11-28,0.010769231,-0.001786205
178,2008-12-01,-0.08580669699999999,-0.09848582199999999
179,2008-12-02,0.033922997,0.02274975
